LOCATION_ID,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,COUNTY,COUNTRY,LOCATION_SOURCE_VALUE,LATITUDE,LONGITUDE
1, ,NA,Busan, ,460,NA,South Korea,460,35.2438001,129.2143053
2,Buk-gu,NA,Busan, ,465,NA,South Korea,465,35.2096029,129.0083976
3,Buk-gu,NA,Busan, ,466,NA,South Korea,466,35.2002879,128.9962255
4,Busanjin-gu,NA,Busan, ,471,NA,South Korea,471,35.1591695,129.0253703
5,Busanjin-gu,NA,Busan, ,472,NA,South Korea,472,35.1558716,129.0359609
6,Busanjin-gu,NA,Busan, ,473,NA,South Korea,473,35.1506706,129.0282388
7,Dong-gu,NA,Busan, ,487,NA,South Korea,487,35.1325113,129.0589853
8,Dong-gu,NA,Busan, ,488,NA,South Korea,488,35.1183896,129.0368573
9,Dongnae-gu,NA,Busan, ,477,NA,South Korea,477,35.2048424,129.0794734
10,Dongnae-gu,NA,Busan, ,478,NA,South Korea,478,35.1961232,129.0883641
11,Dongnae-gu,NA,Busan, ,479,NA,South Korea,479,35.1939042,129.0948061
12,Gangseo-gu,NA,Busan, ,467,NA,South Korea,467,35.2161483,128.9391109
13,Geumjeong-gu,NA,Busan, ,462,NA,South Korea,462,35.2467703,129.0892436
14,Geumjeong-gu,NA,Busan, ,463,NA,South Korea,463,35.215263,129.1101637
15,Haeundae-gu,NA,Busan, ,480,NA,South Korea,480,35.2208697,129.1510128
16,Haeundae-gu,NA,Busan, ,481,NA,South Korea,481,35.1560938,129.1520503
17,Jung-gu,NA,Busan, ,489,NA,South Korea,489,35.099054,129.0307467
18,Nam-gu,NA,Busan, ,484,NA,South Korea,484,35.1170892,129.0771011
19,Nam-gu,NA,Busan, ,485,NA,South Korea,485,35.1153706,129.0859562
20,Saha-gu,NA,Busan, ,493,NA,South Korea,493,35.0978098,129.0092395
21,Saha-gu,NA,Busan, ,494,NA,South Korea,494,35.0893998,128.9960152
22,Saha-gu,NA,Busan, ,495,NA,South Korea,495,35.0693212,128.9891837
23,Sasang-gu,NA,Busan, ,469,NA,South Korea,469,35.1508357,128.9934119
24,Sasang-gu,NA,Busan, ,470,NA,South Korea,470,35.1433572,128.9743455
25,Seo-gu,NA,Busan, ,492,NA,South Korea,492,35.0836132,129.0176147
26,Suyeong-gu,NA,Busan, ,482,NA,South Korea,482,35.1636636,129.112566
27,Suyeong-gu,NA,Busan, ,483,NA,South Korea,483,35.1516378,129.1126099
28,Yeongdo-gu,NA,Busan, ,490,NA,South Korea,490,35.0900388,129.040557
29,Yeongdo-gu,NA,Busan, ,491,NA,South Korea,491,35.073895,129.0683851
30,Yeonje-gu,NA,Busan, ,475,NA,South Korea,475,35.197404,129.0761033
31,Yeonje-gu,NA,Busan, ,476,NA,South Korea,476,35.1744877,129.0809473
32, ,NA,Daegu, ,429,NA,South Korea,429,35.7768669,128.6498656
33, ,NA,Daegu, ,430,NA,South Korea,430,35.6721705,128.4490331
34,Buk-gu,NA,Daegu, ,414,NA,South Korea,414,35.935952,128.5633638
35,Buk-gu,NA,Daegu, ,415,NA,South Korea,415,35.9111046,128.6162768
36,Dalseo-gu,NA,Daegu, ,426,NA,South Korea,426,35.8454542,128.5095616
37,Dalseo-gu,NA,Daegu, ,427,NA,South Korea,427,35.8425511,128.5025641
38,Dalseo-gu,NA,Daegu, ,428,NA,South Korea,428,35.8085982,128.5343355
39,Dong-gu,NA,Daegu, ,410,NA,South Korea,410,35.8847543,128.7158073
40,Dong-gu,NA,Daegu, ,411,NA,South Korea,411,35.8747366,128.7208513
41,Dong-gu,NA,Daegu, ,412,NA,South Korea,412,35.8814839,128.6261835
42,Jung-gu,NA,Daegu, ,419,NA,South Korea,419,35.8711056,128.5870949
43,Nam-gu,NA,Daegu, ,424,NA,South Korea,424,35.8376408,128.5672765
44,Nam-gu,NA,Daegu, ,425,NA,South Korea,425,35.8309232,128.5594918
45,Seo-gu,NA,Daegu, ,417,NA,South Korea,417,35.8769004,128.5690312
46,Seo-gu,NA,Daegu, ,418,NA,South Korea,418,35.8672977,128.5760345
47,Suseong-gu,NA,Daegu, ,420,NA,South Korea,420,35.8649929,128.6449822
48,Suseong-gu,NA,Daegu, ,421,NA,South Korea,421,35.850478,128.6169246
49,Suseong-gu,NA,Daegu, ,422,NA,South Korea,422,35.8516116,128.6870849
50,Daedeok-gu,NA,Daejeon, ,343,NA,South Korea,343,36.4338535,127.4645026
51,Daedeok-gu,NA,Daejeon, ,344,NA,South Korea,344,36.3647045,127.4402305
52,Dong-gu,NA,Daejeon, ,345,NA,South Korea,345,36.3458916,127.4530873
53,Dong-gu,NA,Daejeon, ,346,NA,South Korea,346,36.3390686,127.4397695
54,Dong-gu,NA,Daejeon, ,347,NA,South Korea,347,36.4153451,127.5323082
55,Jung-gu,NA,Daejeon, ,348,NA,South Korea,348,36.329105,127.4004309
56,Jung-gu,NA,Daejeon, ,349,NA,South Korea,349,36.3189955,127.4281445
57,Jung-gu,NA,Daejeon, ,350,NA,South Korea,350,36.2823082,127.4225513
58,Seo-gu,NA,Daejeon, ,352,NA,South Korea,352,36.3357137,127.3856648
59,Seo-gu,NA,Daejeon, ,353,NA,South Korea,353,36.3117622,127.3531388
60,Seo-gu,NA,Daejeon, ,354,NA,South Korea,354,36.2820451,127.3645176
61,Yuseong-gu,NA,Daejeon, ,340,NA,South Korea,340,36.4246836,127.391257
62,Yuseong-gu,NA,Daejeon, ,341,NA,South Korea,341,36.3852855,127.3610642
63,Yuseong-gu,NA,Daejeon, ,342,NA,South Korea,342,36.3374667,127.3005114
64,Buk-gu,NA,Gwangju, ,610,NA,South Korea,610,35.223747,126.8589342
65,Buk-gu,NA,Gwangju, ,611,NA,South Korea,611,35.1849078,126.9363765
66,Buk-gu,NA,Gwangju, ,612,NA,South Korea,612,35.1539117,126.9073578
67,Dong-gu,NA,Gwangju, ,614,NA,South Korea,614,35.163578,126.9179287
68,Dong-gu,NA,Gwangju, ,615,NA,South Korea,615,35.0930579,126.9391953
69,Gwangsan-gu,NA,Gwangju, ,622,NA,South Korea,622,35.2019388,126.7770464
70,Gwangsan-gu,NA,Gwangju, ,623,NA,South Korea,623,35.1871377,126.7858017
